"*660.00.0000*","","","12/16/2004","16-Dec-2004","11:00:00","","3396","18","3396 days","4","1/6/2005","9","660.00.0000","660","660","","","","","","","","BEAR PAW LAKE","BP","64","64","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE ix","BP ix","error","","","","error","stock - Bear Paw","100 %","100 %","",""
"*661.00.0000*","","","12/16/2004","16-Dec-2004","11:00:00","","3396","18","3396 days","4","1/6/2005","9","661.00.0000","661","661","","","","","","","","BEAR PAW LAKE","BP","58","56","97 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - Bear Paw","100 %","100 %","",""
"*662.00.0000*","","","12/21/2004","21-Dec-2004","10:00:00","","3391","13","3391 days","4","1/11/2005","9","662.00.0000","662","662","","","","","","","","BEAR PAW LAKE","BP","45","45","100 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - Bear Paw","100 %","100 %","",""
"*663.00.0000*","","","12/21/2004","21-Dec-2004","10:00:00","","3391","13","3391 days","4","1/11/2005","9","663.00.0000","663","663","","","","","","","","RABBIT SLOUGH","RS","75","72","96 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*664.00.0000*","","","12/21/2004","21-Dec-2004","10:00:00","","3391","13","3391 days","4","1/11/2005","9","664.00.0000","664","664","","","","","","","","RABBIT SLOUGH","RS","47","37","79 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*665.00.0000*","","","12/21/2004","21-Dec-2004","10:00:00","","3391","13","3391 days","4","1/11/2005","9","665.00.0000","665","665","","","","","","","","RABBIT SLOUGH","RS","85","83","98 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*666.00.0000*","","","12/21/2004","21-Dec-2004","10:00:00","","3391","13","3391 days","4","1/11/2005","9","666.00.0000","666","666","","","","","","","","RABBIT SLOUGH","RS","64","54","84 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*667.00.0000*","","","12/29/2004","29-Dec-2004","11:00:00","","3383","5","3383 days","4","1/19/2005","9","667.00.0000","667","667","","","","","","","","RABBIT SLOUGH","RS","99","99","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","katrina's - Rabbit Slough","100 %","100 %","",""
"*668.00.0000*","","","12/30/2004","30-Dec-2004","10:00:00","","3382","4","3382 days","4","1/20/2005","9","668.00.0000","668","668","","","","","","","","RABBIT SLOUGH","RS","65","65","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","katrina's - Rabbit Slough","100 %","100 %","",""
"*669.00.0000*","","","1/3/2005","3-Jan-2005","13:00:00","","3378","1","3378 days","3","1/24/2005","9","669.00.0000","669","669","","","","","","","","RABBIT SLOUGH","RS","94","92","98 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*670.00.0000*","","","1/3/2005","3-Jan-2005","13:00:00","","3378","1","3378 days","3","1/24/2005","9","670.00.0000","670","670","","","","","","","","RABBIT SLOUGH","RS","63","63","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*671.00.0000*","","","1/7/2005","7-Jan-2005","9:45:00","","3374","27","3374 days","3","1/28/2005","9","671.00.0000","671","671","","","","","","","","RABBIT SLOUGH","RS","58","53","91 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*672.00.0000*","","","1/7/2005","7-Jan-2005","9:45:00","","3374","27","3374 days","3","1/28/2005","9","672.00.0000","672","672","","","","","","","","RABBIT SLOUGH","RS","66","66","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*673.00.0000*","","","1/12/2005","12-Jan-2005","11:00:00","","3369","22","3369 days","3","2/2/2005","9","673.00.0000","673","673","","","","","","","","RABBIT SLOUGH","RS","69","67","97 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*674.00.0000*","","","1/14/2005","14-Jan-2005","11:45:00","","3367","20","3367 days","3","2/4/2005","9","674.00.0000","674","674","","","","","","","","RABBIT SLOUGH","RS","63","63","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*675.00.0000*","","","1/14/2005","14-Jan-2005","11:45:00","","3367","20","3367 days","3","2/4/2005","9","675.00.0000","675","675","","","","","","","","RABBIT SLOUGH","RS","77","77","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*676.00.0000*","","","1/14/2005","14-Jan-2005","11:45:00","","3367","20","3367 days","3","2/4/2005","9","676.00.0000","676","676","","","","","","","","RABBIT SLOUGH","RS","50","50","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*677.00.0000*","","","1/14/2005","14-Jan-2005","11:45:00","","3367","20","3367 days","3","2/4/2005","9","677.00.0000","677","677","","","","","","","","RABBIT SLOUGH","RS","82","82","100 %","","","","","","","","","","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing series","100 %","100 %","",""
"*678.00.0000*","","","1/18/2005","18-Jan-2005","16:00:00","","3363","16","3363 days","3","2/8/2005","9","678.00.0000","678","678","","","","","","","","RABBIT SLOUGH","RS","55","52","95 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*679.00.0000*","","","1/18/2005","18-Jan-2005","16:00:00","","3363","16","3363 days","3","2/8/2005","9","679.00.0000","679","679","","","","","","","","RABBIT SLOUGH","RS","53","51","96 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","KATRINA","100 %","100 %","",""
"*680.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","680.00.0000","680","680","","","","","","","","BOOT LAKE","BT","76","75","99 %","","","","","","","","","NOT PRESENT","1","BOOT LAKE ix","BT ix","error","","","","error","Boot Inbreeding Line","100 %","100 %","",""
"*681.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","681.00.0000","681","681","","","","","","","","BOOT LAKE","BT","52","5","10 %","","","","","","","","","NOT PRESENT","1","BOOT LAKE ix","BT ix","error","","","","error","Boot Inbreeding Line","100 %","100 %","",""
"*682.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","682.00.0000","682","682","","","","","","","","RABBIT SLOUGH","RS","42","40","95 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*683.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","683.00.0000","683","683","","","","","","","","RABBIT SLOUGH","RS","40","40","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*684.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","684.00.0000","684","684","","","","","","","","RABBIT SLOUGH","RS","42","40","95 %","","","","","","","","","","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*685.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","685.00.0000","685","685","","","","","","","","RABBIT SLOUGH","RS","50","50","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*686.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","686.00.0000","686","686","","","","","","","","RABBIT SLOUGH","RS","42","42","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Rabbit Slough Incross","100 %","100 %","",""
"*687.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","687.00.0000","687","687","","","","","","","","RABBIT SLOUGH","RS","100","100","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","KATRINA","100 %","100 %","",""
"*688.00.0000*","","","1/23/2005","23-Jan-2005","13:30:00","","3358","11","3358 days","3","2/13/2005","9","688.00.0000","688","688","","","","","","","","RABBIT SLOUGH","RS","115","112","97 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","KATRINA","100 %","100 %","",""
"*689.00.0000*","","","1/27/2005","27-Jan-2005","10:30:00","","3354","7","3354 days","3","2/17/2005","9","689.00.0000","689","689","","","","","","","","BEAR PAW LAKE","BP","111","107","96 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","1","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","Bear Paw; inbreed","100 %","100 %","",""
"*690.00.0000*","","","1/27/2005","27-Jan-2005","10:30:00","","3354","7","3354 days","3","2/17/2005","9","690.00.0000","690","690","","","","","","","","BEAR PAW LAKE","BP","80","75","94 %","","","","","","","","","NOT PRESENT","1","BEAR PAW LAKE ix","BP ix","error","","","","error","Bear Paw; inbreed","100 %","100 %","",""
"*691.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","691.00.0000","691","691","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","105","105","100 %","","","","","","","","","NOT PRESENT","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","error","","","","error","RS x gac/pung","100 %","100 %","",""
"*692.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","692.00.0000","692","692","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","120","120","100 %","","","","","","","","","NOT PRESENT","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","error","","","","error","RS x gac/pung","100 %","100 %","",""
"*693.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","693.00.0000","693","693","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","130","130","100 %","","","","","","","","","NOT PRESENT","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","error","","","","error","RS x gac/pung","100 %","100 %","",""
"*694.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","694.00.0000","694","694","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","47","47","100 %","","","","","","","","","NOT PRESENT","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","error","","","","error","RS x gac/pung","100 %","100 %","",""
"*695.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","695.00.0000","695","695","","","","","","","","BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH]","BP/[MUPP/RS]","105","105","100 %","","","","","","","","","Location: Fish Room Cabinet 2Section #1Not Stained30 Fish in Jar","0","BEAR PAW LAKE X MUD LAKE PUNGITIUS/RABBIT SLOUGH","BP X MUPP/RS","[stck-dead]  error","","[stck-dead]","","error","BP x gac/pung","100 %","100 %","",""
"*696.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","696.00.0000","696","696","","","","","","","","BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH]","BP/[MUPP/RS]","58","58","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X MUD LAKE PUNGITIUS/RABBIT SLOUGH","BP X MUPP/RS","error","","","","error","BP x gac/pung","100 %","100 %","",""
"*697.00.0000*","","","1/27/2005","27-Jan-2005","12:00:00","","3354","7","3354 days","3","2/17/2005","9","697.00.0000","697","697","","","","","","","","BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH]","BP/[MUPP/RS]","60","60","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X MUD LAKE PUNGITIUS/RABBIT SLOUGH","BP X MUPP/RS","error","","","","error","BP x gac/pung","100 %","100 %","",""
"*698.00.0000*","","","1/28/2005","28-Jan-2005","9:30:00","","3353","6","3353 days","3","2/18/2005","9","698.00.0000","698","698","","","","","","","","RABBIT SLOUGH","RS","117","115","98 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","RS staining series","100 %","100 %","",""
"*699.00.0000*","","","1/28/2005","28-Jan-2005","9:30:00","","3353","6","3353 days","3","2/18/2005","9","699.00.0000","699","699","","","","","","","","RABBIT SLOUGH","RS","78","75","96 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","RS staining series","100 %","100 %","",""
"*700.00.0000*","","","2/1/2005","1-Feb-2005","10:45:00","","3349","3","3349 days","2","2/22/2005","9","700.00.0000","700","700","","","","","","","","BEAR PAW LAKE","BP","103","101","98 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","1","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","Bear Paw; inbreed","100 %","100 %","",""
"*701.00.0000*","","","2/1/2005","1-Feb-2005","10:45:00","","3349","3","3349 days","2","2/22/2005","9","701.00.0000","701","701","","","","","","","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","46","44","96 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","error","","","","error","Richard fgf","100 %","100 %","",""
"*702.00.0000*","","","2/1/2005","1-Feb-2005","10:45:00","","3349","3","3349 days","2","2/22/2005","9","702.00.0000","702","702","","","","","","","","RABBIT SLOUGH","RS","38","38","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Richard fgf","100 %","100 %","",""
"*703.00.0000*","","","2/1/2005","1-Feb-2005","10:30:00","","3349","3","3349 days","2","2/22/2005","9","703.00.0000","703","703","","","","","","","","BEAR PAW LAKE","BP","42","38","90 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31Not Stained4 Fish in Jar","1","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","Bear Paw; inbreed","100 %","100 %","",""
"*704.00.0000*","","","2/1/2005","1-Feb-2005","10:30:00","","3349","3","3349 days","2","2/22/2005","9","704.00.0000","704","704","","","","","","","","BOOT LAKE","BT","76","76","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","Boot staining series","100 %","100 %","",""
"*705.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","705.00.0000","705","705","","","","","","","","RABBIT SLOUGH","RS","163","161","99 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Richard fgf","100 %","100 %","",""
"*706.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","706.00.0000","706","706","","","","","","","","RABBIT SLOUGH","RS","30","30","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Richard fgf","100 %","100 %","",""
"*707.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","707.00.0000","707","707","","","","","","","","RABBIT SLOUGH","RS","70","70","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","Richard fgf","100 %","100 %","",""
"*708.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","708.00.0000","708","708","","","","","","","","BOOT LAKE","BT","80","80","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Boot","100 %","100 %","",""
"*709.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","709.00.0000","709","709","","","","","","","","BOOT LAKE","BT","50","50","100 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","0","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","staining - Boot","100 %","100 %","",""
"*710.00.0000*","","","2/3/2005","3-Feb-2005","10:00:00","","3347","1","3347 days","2","2/24/2005","9","710.00.0000","710","710","","","","","","","","BEAR PAW LAKE","BP","47","47","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","staining - Bear Paw","100 %","100 %","",""
"*711.00.0000*","","","2/4/2005","4-Feb-2005","10:45:00","","3346","0","3346 days","2","2/25/2005","9","711.00.0000","711","711","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","122","122","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #1","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Boot x Bear Paw","100 %","100 %","",""
"*712.00.0000*","","","2/4/2005","4-Feb-2005","10:40:00","","3346","0","3346 days","2","2/25/2005","9","712.00.0000","712","712","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","89","89","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #1","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Boot x Bear Paw","100 %","100 %","",""
"*713.00.0000*","","","2/4/2005","4-Feb-2005","11:00:00","","3346","0","3346 days","2","2/25/2005","9","713.00.0000","713","713","","","","","","","","RABBIT SLOUGH","RS","90","88","98 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing RS","100 %","100 %","",""
"*714.00.0000*","","","2/4/2005","4-Feb-2005","11:00:00","","3346","0","3346 days","2","2/25/2005","9","714.00.0000","714","714","","","","","","","","BEAR PAW LAKE","BP","74","74","100 %","","","","","","","","","NOT PRESENTNot Stained15 Fish in Jar","0","BEAR PAW LAKE ix","BP ix","error","","","","error","stock - Bear Paw","100 %","100 %","",""
"*715.00.0000*","","","2/4/2005","4-Feb-2005","10:50:00","","3346","0","3346 days","2","2/25/2005","9","715.00.0000","715","715","","","","","","","","BOOT LAKE","BT","42","42","100 %","","","","","","","","","NOT PRESENTNot Stained20 Fish in Jar","1","BOOT LAKE ix","BT ix","error","","","","error","Boot; inbreeding","100 %","100 %","",""
"*716.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","716.00.0000","716","716","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","146","146","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #2Not Stained30 Fish in Jar","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","[stck-dead]  error","","[stck-dead]","","error","RS x Gac/Pun","100 %","100 %","",""
"*717.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","717.00.0000","717","717","","","","","","","","BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH]","BP/[MUPP/RS]","34","34","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X MUD LAKE PUNGITIUS/RABBIT SLOUGH","BP X MUPP/RS","error","","","","error","Bp x Gac/Pun","100 %","100 %","",""
"*718.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","718.00.0000","718","718","","","","","","","","BEAR PAW LAKE/[MUD LAKE PUNGITIUS/RABBIT SLOUGH]","BP/[MUPP/RS]","51","51","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X MUD LAKE PUNGITIUS/RABBIT SLOUGH","BP X MUPP/RS","error","","","","error","Bp x Gac/Pun","100 %","100 %","",""
"*719.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","719.00.0000","719","719","","","","","","","","[MUD LAKE PUNGITIUS/RABBIT SLOUGH]/RABBIT SLOUGH","[MUPP/RS]/RS","64","64","100 %","","","","","","","","","NOT PRESENT","0","MUD LAKE PUNGITIUS/RABBIT SLOUGH X RABBIT SLOUGH","MUPP/RS X RS","error","","","","error","Bp x Gac/Pun","100 %","100 %","",""
"*720.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","720.00.0000","720","720","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","81","81","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #2","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Bp x BT","100 %","100 %","",""
"*721.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","721.00.0000","721","721","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","88","88","100 %","","","","","","","","","NOT PRESENTNot Stained15 Fish in Jar","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Bp x BT","100 %","100 %","",""
"*722.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","722.00.0000","722","722","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","170","170","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #2Not Stained25 Fish in Jar","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Bp x BT","100 %","100 %","",""
"*723.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","723.00.0000","723","723","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","93","93","100 %","","","","","","","","","NOT PRESENTNot Stained30 Fish in Jar","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Bp x BT","100 %","100 %","",""
"*724.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","724.00.0000","724","724","","","","","","","","BEAR PAW LAKE","BP","63","63","100 %","","","","","","","","","NOT PRESENT","1","BEAR PAW LAKE ix","BP ix","error","","","","error","inbreeding - Bear Paw","100 %","100 %","",""
"*725.00.0000*","","","2/7/2005","7-Feb-2005","15:30:00","","3343","27","3343 days","2","2/28/2005","9","725.00.0000","725","725","","","","","","","","BOOT LAKE","BT","53","53","100 %","","","","","","","","","Location: Fish Room Cabinet 1Box #31","1","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","inbreeding - Boot","100 %","100 %","",""
"*726.00.0000*","","","2/9/2005","9-Feb-2005","11:00:00","","3341","25","3341 days","2","3/2/2005","9","726.00.0000","726","726","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","53","53","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X BOOT LAKE","BP X BT","error","","","","error","F1; Bt x Bp staining","100 %","100 %","",""
"*727.00.0000*","","","2/9/2005","9-Feb-2005","11:00:00","","3341","25","3341 days","2","3/2/2005","9","727.00.0000","727","727","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","16","16","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X BOOT LAKE","BP X BT","error","","","","error","F1; Bt x Bp staining","100 %","100 %","",""
"*728.00.0000*","","","2/9/2005","9-Feb-2005","11:00:00","","3341","25","3341 days","2","3/2/2005","9","728.00.0000","728","728","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","75","73","97 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X BOOT LAKE","BP X BT","error","","","","error","F1; Bt x Bp staining","100 %","100 %","",""
"*729.00.0000*","","","2/10/2005","10-Feb-2005","11:00:00","","3340","24","3340 days","2","3/3/2005","9","729.00.0000","729","729","","","","","","","","RABBIT SLOUGH","RS","84","84","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing ","100 %","100 %","",""
"*730.00.0000*","","","2/10/2005","10-Feb-2005","11:00:00","","3340","24","3340 days","2","3/3/2005","9","730.00.0000","730","730","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","46","46","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE X BOOT LAKE","BP X BT","error","","","","error","F1; BT x Bp staining","100 %","100 %","",""
"*731.00.0000*","","","2/10/2005","10-Feb-2005","11:00:00","","3340","24","3340 days","2","3/3/2005","9","731.00.0000","731","731","","","","","","","","MUD LAKE THREESPINE","MUGA","54","54","100 %","","","","","","","","","","0","MUD LAKE THREESPINE ix","MUGA ix","error","","","","error"," stock - mudd staining","100 %","100 %","",""
"*732.00.0000*","","","2/11/2005","11-Feb-2005","11:00:00","","3339","23","3339 days","2","3/4/2005","9","732.00.0000","732","732","","","","","","","","RABBIT SLOUGH","RS","96","96","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing","100 %","100 %","",""
"*733.00.0000*","","","2/11/2005","11-Feb-2005","11:00:00","","3339","23","3339 days","2","3/4/2005","9","733.00.0000","733","733","","","","","","","","RABBIT SLOUGH","RS","74","74","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing","100 %","100 %","",""
"*734.00.0000*","","","2/11/2005","11-Feb-2005","11:00:00","","3339","23","3339 days","2","3/4/2005","9","734.00.0000","734","734","","","","","","","","RABBIT SLOUGH","RS","150","147","98 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","fixing","100 %","100 %","",""
"*735.00.0000*","","","2/11/2005","11-Feb-2005","11:00:00","","3339","23","3339 days","2","3/4/2005","9","735.00.0000","735","735","","","","","","","","BEAR PAW LAKE/BOOT LAKE","BP/BT","103","103","100 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #1","0","BEAR PAW LAKE/BOOT LAKE ix","BP/BT ix","[stck-dead]  error","","[stck-dead]","","error","F2; Bt xBp","100 %","100 %","",""
