"*12.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","12.00.0000","12","12","2.0003","2","2.00.0003","1.0008","1","1.00.0008","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #8NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*13.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","13.00.0000","13","13","2.0004","2","2.00.0004","1.0009","1","1.00.0009","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #9NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*14.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","14.00.0000","14","14","3.0006","3","3.00.0006","1.001","1","1.001.001","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #10NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*15.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","15.00.0000","15","15","2.0005","2","2.00.0005","1.0011","1","1.00.0011","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #11NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*16.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","16.00.0000","16","16","2.0006","2","2.00.0006","1.0012","1","1.00.0012","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #12NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*17.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","17.00.0000","17","17","2.0007","2","2.00.0007","1.0013","1","1.00.0013","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","Mike Bell Cross #13NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*18.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","18.00.0000","18","18","1.0014","1","1.00.0014","3.0007","3","3.00.0007","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","Mike Bell Cross #14NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*19.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","19.00.0000","19","19","2.0008","2","2.00.0008","1.0015","1","1.00.0015","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","MB cross #15NOT PRESENT","","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*20.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","20.00.0000","20","20","3.0008","3","3.00.0008","1.0016","1","1.00.0016","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","MB Cross #16NOT PRESENT","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*21.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","21.00.0000","21","21","2.0009","2","2.00.0009","1.0017","1","1.00.0017","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","MB Cross #17Location: Fish Room Cabinet 1Box #1","0","BEAR PAW LAKE X RABBIT SLOUGH","BP X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Bear Paw by RS","","","",""
