sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
,F1 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 1 female,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,,,,
,F1 QTL; Bear Paw by RS,,,,,,,
,F1 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,3 females,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,F1 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 2 females,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,2 females,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,"3 females;  f56.0011. f56.0012, f56.0013",,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 1 female,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,F1 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 1 female,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,stock - Boot Lake,,,,,,,
,stock - Boot Lake,,,,,,,
,stock - Bear Paw Lake,,,,,,,
,F2 QTL; Boot by RS,,,,,,,
,stock - Inbred Boot Lake,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Boot by RS,,,,,,,
,stock - Boot Lake,,,,4 females,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,stock - Bear Paw Lake,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F1 QTL; Bear Paw by RS,,,,2 females,,,
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,??F2 QTL; Whale by RS??,,,,***It is possible that this is cross 148!  The phenotype distribution does not match an inbred cross.,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,###############################################################################################################################################################################################################################################################,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Boot by RS,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Bear Paw,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,2 females,,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,###############################################################################################################################################################################################################################################################,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,
,F2 QTL Back; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Boot by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Boot by RS,,,,,,,
,F2 QTL Back; Boot by RS,,,,,,,
,F2 QTL Back; Boot by RS,,,,,,,
,stock - Bear Paw Lake,,,,2 females,,,
,stock - Boot Lake,,,,2 females,,,
,F2 QTL; Boot by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
