sbLinesConstant::captured,sbLinesConstant::captureDisplay,sbLinesConstant::captureKey,sbLinesConstant::lineComments,sbLinesConstant::lineName,sbLinesConstant::lineNameAbbr,sbLinesConstant::lineSpecies,sbLinesConstant::lineStatus,sbLinesConstant::lineStatusDisplay,sbLinesConstant::phenotypeDescription,sbLinesConstant::phenotypePicAnnotation,sbLinesConstant::researcherInitials,sbLinesConstant::storedLineName,sbLinesConstant::storedLineNameAbbr
No,,sbL11851Yes,,ROCKY LAKE,ROCKY LAKE,Gasterosteus aculeatus,,ROCKY LAKE is an alias for .
Yes,capture details,sbL11852Yes,,"WILLOW LAKE, MAT-SU, AK",WILLOW LAKE,Gasterosteus aculeatus,,"WILLOW LAKE, MAT-SU, AK is an alias for ."
No,,sbL11853Yes,,K-LAKE,K-LAKE,Gasterosteus aculeatus,,K-LAKE is an alias for .
No,,sbL11854Yes,,"KIDNEY LAKE, KENAI, AK",KIDNEY LAKE,Gasterosteus aculeatus,,"KIDNEY LAKE, KENAI, AK is an alias for ."
No,,sbL11855Yes,,DANIELS LAKE,DANIELS LAKE,Gasterosteus aculeatus,,DANIELS LAKE is an alias for .
Yes,capture details,sbL11856Yes,,BENKA LAKE - REGION 1,BENKA LAKE REGION 1,Gasterosteus aculeatus,,BENKA LAKE - REGION 1 is an alias for .
Yes,capture details,sbL11857Yes,,BENKA LAKE - REGION 4,BENKA LAKE REGION 4,Gasterosteus aculeatus,,BENKA LAKE - REGION 4 is an alias for .
Yes,capture details,sbL11858Yes,,MUD LAKE,MUDLAKE,Gasterosteus aculeatus,,MUD LAKE is an alias for .
No,,sbL11859Yes,,"BIBLE CAMP LAKE, KENAI, AK",BIBLE CAMP LAKE,Gasterosteus aculeatus,,"BIBLE CAMP LAKE, KENAI, AK is an alias for ."
No,,sbL11860Yes,,"KALM BACH LAKE, MAT-SU, AK",KALM BACH LAKE,Gasterosteus aculeatus,,"KALM BACH LAKE, MAT-SU, AK is an alias for ."
No,,sbL11861Yes,,"ARNESS LAKE, KENAI, AK",ARNESS LAKE,Gasterosteus aculeatus,,"ARNESS LAKE, KENAI, AK is an alias for ."
No,,sbL11862Yes,,"WEST BOTTLENECK, KENAI, AK",WEST BOTTLENECK,Gasterosteus aculeatus,,"WEST BOTTLENECK, KENAI, AK is an alias for ."
No,,sbL11863Yes,,ORPHEA LAKE,ORPHEA LAKE,Gasterosteus aculeatus,,ORPHEA LAKE is an alias for .
No,,sbL11864Yes,,MORVRO LAKE,MORVRO LAKE,Gasterosteus aculeatus,,MORVRO LAKE is an alias for .
Yes,capture details,sbL11865Yes,,BRUCE LAKE,BRUCE LAKE,Gasterosteus aculeatus,,BRUCE LAKE is an alias for .
No,,sbL11866Yes,,NANCY LAKE,NANCY LAKE,Gasterosteus aculeatus,,NANCY LAKE is an alias for .
No,,sbL11867Yes,,WALBY LAKE,WALBY LAKE,Gasterosteus aculeatus,,WALBY LAKE is an alias for .
Yes,capture details,sbL11868Yes,,MUD BAY,MUD BAY,Gasterosteus aculeatus,,MUD BAY is an alias for .
Yes,capture details,sbL11869Yes,,DEEP CREEK SLOUGH,DEEP CREEK SLOUGH,Gasterosteus aculeatus,,DEEP CREEK SLOUGH is an alias for .
Yes,capture details,sbL11870Yes,,BELUGA SLOUGH,BELUGA SLOUGH,,,BELUGA SLOUGH is an alias for .
