No		sbL11710Yes		RABBIT SLOUGH/WHALE LAKE	RS/WH		1	RABBIT SLOUGH/WHALE LAKE is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11710	sbL7964/sbL7821/	sbL7964/sbL7821/	sbLw7821	sbLw7817	301	13875	21	0	1/27/2004	10:18:06 PM	2/24/2014	4:13:24 PM	11710	WH/GH	WHALE LAKE/GLENN HIGHWAY	GLENN HIGHWAY/WHALE LAKE	GH/WH
No		sbL11711Yes		SILTCOOS/SUTTON CREEK	SLT/SUCR		1	SILTCOOS/SUTTON CREEK is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11711	sbL7968/sbL7971/	sbL7968/sbL7971/	sbLw7971	sbLw7968	301	13875	22	0	1/28/2004	2:03:54 AM	2/24/2014	4:13:24 PM	11711	SUCR/SLT	SUTTON CREEK/SILTCOOS	SILTCOOS/SUTTON CREEK	SLT/SUCR
No		sbL11712Yes		BEAR PAW LAKE/BOOT LAKE	BP/BT		1	BEAR PAW LAKE/BOOT LAKE is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11712	sbL7819/sbL7820/	sbL7819/sbL7820/	sbLw7820	sbLw7819	301	13875	23	0	1/28/2004	9:29:45 PM	2/24/2014	4:13:24 PM	11712	BT/BP	BOOT LAKE/BEAR PAW LAKE	BEAR PAW LAKE/BOOT LAKE	BP/BT
No		sbL11713Yes		BOOT LAKE/WHALE LAKE	BT/WH		1	BOOT LAKE/WHALE LAKE is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11713	sbL7820/sbL7821/	sbL7820/sbL7821/	sbLw7820	sbLw7821	301	13875	24	0	1/28/2004	9:31:46 PM	2/24/2014	4:13:24 PM	11713	BT/WH	BOOT LAKE/WHALE LAKE	BOOT LAKE/WHALE LAKE	BT/WH
No		sbL11714Yes		BEAR PAW LAKE/WHALE LAKE	BP/WH		1	BEAR PAW LAKE/WHALE LAKE is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11714	sbL7819/sbL7821/	sbL7819/sbL7821/	sbLw7819	sbLw7821	301	13875	25	0	1/28/2004	9:33:04 PM	2/24/2014	4:13:24 PM	11714	BP/WH	BEAR PAW LAKE/WHALE LAKE	BEAR PAW LAKE/WHALE LAKE	BP/WH
No		sbL11718Yes		RABBIT SLOUGH/SILTCOOS	RS/SLT		1	RABBIT SLOUGH/SILTCOOS is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11718	sbL7964/sbL7968/	sbL7964/sbL7968/	sbLw7964	sbLw7968	301	13875	26	0	1/28/2004	9:40:09 PM	2/24/2014	4:13:24 PM	11718	RS/SLT	RABBIT SLOUGH/SILTCOOS	RABBIT SLOUGH/SILTCOOS	RS/SLT
No		sbL11719Yes		SILTCOOS/WHALE LAKE	SLT/WH		1	SILTCOOS/WHALE LAKE is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11719	sbL7968/sbL7821/	sbL7968/sbL7821/	sbLw7968	sbLw7821	301	13875	27	0	1/28/2004	9:42:12 PM	2/24/2014	4:13:24 PM	11719	SLT/WH	SILTCOOS/WHALE LAKE	SILTCOOS/WHALE LAKE	SLT/WH
No		sbL11720Yes		BOOT LAKE/SOUTH SLOUGH	BT/SSL		1	BOOT LAKE/SOUTH SLOUGH is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11720	sbL7820/sbL9472/	sbL7820/sbL9472/	sbLw7820	sbLw9472	301	13875	28	0	1/28/2004	10:46:46 PM	2/24/2014	4:13:24 PM	11720	BT/SSL	BOOT LAKE/SOUTH SLOUGH	BOOT LAKE/SOUTH SLOUGH	BT/SSL
No		sbL11725Yes		[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH	[BT/RS]/SSL		1	[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11725	sbL11708/sbL9472/	sbL11708/sbL9472/	sbLw11725	sbLw11725	301	13875	29	0	1/28/2004	10:59:38 PM	2/24/2014	4:13:24 PM	11725	RS/BT/GH/SSL	RABBIT SLOUGH/BOOT LAKE/GLENN HIGHWAY/SOUTH SLOUGH		
No		sbL11726Yes		RABBIT SLOUGH/[SILTCOOS/WHALE LAKE]	RS/[SLT/WH]		1	RABBIT SLOUGH/[SILTCOOS/WHALE LAKE] is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11726	sbL7964/sbL11719/	sbL7964/sbL11719/	sbLw11726	sbLw11726	301	13875	30	0	1/28/2004	11:20:09 PM	2/24/2014	4:13:24 PM	11726	SLT/WH/RS	SILTCOOS/WHALE LAKE/RABBIT SLOUGH		
